"","GSM8393322","GSM8393323","GSM8393324","GSM8393325","GSM8393326","GSM8393327","GSM8393328","GSM8393329","GSM8393330","GSM8393331"
"ENSG00000290805",0,0,0,0,0,0,0,0,0,0
"ENSG00000290806",0,0,0.638593,0,0,0,0,0,0,0
"ENSG00000290809",0,0,0,0,0,0,0,0,0,0.0905146
"ENSG00000290812",0.443163,0.269653,0.346175,0.246099,0.623272,0.418547,0.396778,0.210724,0.379441,0.273754
"ENSG00000290813",0,0,0,0,0,0,0,0,0,0
"ENSG00000290814",0.0455535,0.0409578,0.0910316,0.0551674,0.0123864,0.0491384,0.0437727,0.0123594,0.0503151,0.0505198
"ENSG00000290815",0,0.189628,0.084732,0.0614487,0,0,0,0.138705,0.0356147,0.170604
"ENSG00000290817",0.161132,0.146142,0.186115,0.0950562,0.107797,0.209846,0.0844408,0.174519,0.154668,0.0985809
"ENSG00000290819",0,0,0,0,0,0,0,0,0,0
"ENSG00000290820",0,0,0,0,0,0,0,0,0,0
"ENSG00000290821",1.33536,1.3511,1.44095,1.38111,1.00096,2.39636,2.13295,2.2258,2.66622,2.58957
"ENSG00000290822",0,0,0,0,0,0,0,0,0,0
"ENSG00000290823",4.13229,4.32258,4.4870653669,2.555729,2.118639,3.642584,4.058639,6.08921,4.3212676,4.9942
"ENSG00000290826",0,0,0,0,0,0,0,0,0,0
"ENSG00000290827",0.0394852,0.0917573,0.0602127,0.0640037,0.0315202,0.020725,0.0904321,0.0621657,0.0373442,0.0202595
"ENSG00000290829",0.803363,0.641521,0.41713,0.366685,0.686769,0.481931,0.484323,0.365705,0.531335,0.273261
"ENSG00000290830",1.59334,1.44801,1.26144,0,2.93333,0.929391,0.283202,1.65745,0.856218,0
"ENSG00000290833",5.341124,7.06263,6.946474,7.272988,7.151959,7.747336,10.075206,6.662021,7.70433,7.263386
"ENSG00000290835",3.61056,3.47904,3.3899,3.06266,4.2863,3.77511,3.33992,4.15276,3.19097,3.57287
"ENSG00000290839",0,0,0,0,0,0,0,0,0,0
"ENSG00000290841",0.227403,0.272572,0,0.334284,0.375025,0.503737,0,0,0,0
"ENSG00000290845",3.700463,3.1781,2.640354,2.863391,4.073228,3.888303,3.036624,4.277879,2.826929,3.28762
"ENSG00000290851",0.0569763,0.0335573,0.0163156,0.0692287,0.0650998,0.2424774,0.0540728,0.0324018,0.0519232,0.2589422
"ENSG00000290852",0,0,0,0,0,0,0,0,0,0
"ENSG00000290853",0.365444,0.726677,0.824202,0.368784,0.753059,0.822065,0.328489,0.487601,0.635007,0.515885
"ENSG00000290854",3.1462190580105,2.99053106339,4.549143,4.447803,4.831257,3.2222100363865,6.430218,5.057603,5.667706,2.63635606
"ENSG00000290855",0,0,0,0.121494,0,0,0,0.0342819,0,0
"ENSG00000290858",0,0,0,0,0,0,0,0,0,0
"ENSG00000290863",1.07988,0.630226,1.1268,0.880742,0.807808,0.836301,1.12467,0.750885,0.746627,0.91298
"ENSG00000290870",0.0637068,0.182582,0.0989976,0.182014,0.120112,0.0906329,0.0774048,0.0912525,0.118422,0.0563268
"ENSG00000290879",0,0,0,5.17555e-05,0,0,0,0,0,0
"ENSG00000290880",0.599376,0.847601,0.641695,0.86706,0.85231,0.855814,0.759331,0.758257,0.63351644,0.8748
"ENSG00000290881",0,0,0,0,0,0,0,0,0,0
"ENSG00000290882",0.138751,0.0987461,0.220719,0.133262,0.121314,0.180987,0.106994,0.12063,0.154595,0.0740289
"ENSG00000290883",0,0.573235,0.896547,0.243476,0.293107,0.293287,0,0.293605,0.299229,0.449482
"ENSG00000290886",1.61366,1.02392,0.366635,2.21736,0.9166,1.32293,0.847314,1.09801,1.36915,1.70577
"ENSG00000290887",0.218956,0.529236,0.387194,0.219024,0.242138,0.490815,0.416619,0,0,0
"ENSG00000290888",0.448446,0.38564,0.465897,0.474069,0.453146,0.374713,0.268475,0.324191,0.33345,0.432633
"ENSG00000290889",0,0,0,0,0,0,0,0,0,0
"ENSG00000290893",0,0.0209776,0,0,0,0.0193846,0.0170778,0,0,0
"ENSG00000290895",0,0,0.0327589,0.0259057,0,0,0,0,0.0822989,0
"ENSG00000290896",1.00534,0.875108,0.65701,0.518625,0.991719,0.791403,0.925351,1.00419,1.08277,0.956766
"ENSG00000290904",0,0.147604,0,0.384117,0,0.301878,0.67118,0.129521,0,0
"ENSG00000290906",0.0880547,0.0958496,0.0351207,0.158337,0.0433212,0.0432063,0,0.0860813,0.209135,0.106043
"ENSG00000290907",8.57702,8.44802,9.54358,8.14176,7.4622,10.5139,10.6936,9.00713,9.44043,10.737
"ENSG00000290908",0,0,0,0,0,0,0,0,0,0
"ENSG00000290909",0,0,0,0,0,0,0,0,0,0
"ENSG00000290912",3.20553,2.70249,3.35892,2.75454,2.9729,3.08681,2.77745,3.19154,3.16658,3.62369
"ENSG00000290913",1.49444,1.2878,2.3935,1.86222,0.557352,0.789578,0.956863,0.566511,1.36417,0.797627
"ENSG00000290916",0,0.132359,0.332029,0.110107,0,0.250666,0,0.489151,0,0.117234
"ENSG00000290927",2.497193,1.62506,1.63364,1.77628,2.126362,1.992795,2.342341,2.741313,1.86509,2.135106
