"","mean","sd","max","min"
"TMEM145",0.116215008748727,0.103070506199872,0.471566896,-0.283293012
"TMEM147",-0.0207786734439728,0.145127303791729,0.39873181,-1.028265561
"TMEM14A",0.164200719002547,0.0997799729460904,0.519988171,-0.210531253
"TMEM14B",-0.128266687320883,0.119164545384015,0.397151121,-0.567913457
"TMEM14C",0.090419307901528,0.0981320890547864,0.583587019,-0.308658277
"TMEM150A",0.00711205135059423,0.128779495574891,0.482572444,-0.62892365
"TMEM150B",0.125791670947368,0.0923873246411317,0.507343756,-0.505085375
"TMEM150C",-0.10073359396944,0.103684988395649,0.284575812,-0.577795335
"TMEM151A",-0.0367731958370119,0.135363385967877,0.419326402,-0.759653248
"TMEM151B",-0.0347425777079796,0.117144456115427,0.489756322,-0.467770669
"TMEM154",0.077194979516129,0.120275256903516,0.518538966,-0.52520531
"TMEM156",0.0505490468123939,0.110522572705311,0.648034965,-0.482897107
"TMEM158",0.0762566547190153,0.124166424582012,0.603519273,-0.437454295
"TMEM160",0.0103733444185059,0.108676011177383,0.555232399,-0.58328608
"TMEM161A",-0.256671522095076,0.105694703318229,0.242934829,-0.81762985
"TMEM161B",-0.0422594209252971,0.152362575957143,0.414078946,-0.80450346
"TMEM163",-0.0600372932716469,0.125443129516874,0.445211853,-0.537784
"TMEM164",0.0782306522852292,0.123854696306399,0.479782899,-1.35266741
"TMEM165",-0.2059690104618,0.203882116167627,0.373948733,-1.2017794
"TMEM167A",-0.328231316717317,0.206426134735282,0.281143112,-1.192875512
"TMEM167B",-0.0451171954906621,0.108768102872198,0.361180039,-0.575614066
"TMEM168",0.141164174011885,0.0976152598817033,0.763596183,-0.602559176
"TMEM169",-0.00326904962308998,0.125147710770458,0.412036789,-0.676690219
"TMEM17",0.0466416249796265,0.100141258020263,1.123675955,-0.32185763
"TMEM170A",-0.0182232411494058,0.109416869005307,0.36056929,-0.44496507
"TMEM170B",0.0553581267699491,0.0899318473742255,0.597900829,-0.279771532
"TMEM171",0.0248726117368421,0.103090931184141,0.673209199,-0.373094005
