ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,ids
JISON_SICKLE_CELL_DISEASE_DN,JISON_SICKLE_CELL_DISEASE_DN,42,-0.373658029,-3.086714093,0.005181347,0.027590392,0.01647496,217,"tags=62%, list=17%, signal=53%",EIF3H/EEF1G/RPLP1/EIF3F/NPM1/DDX5/EEF1B2/POLR2H/NACA/RPL30/EIF3E/RPL7/RPS7/RPL37/RPS28/RPS27A/RPL24/RPL13A/RPS24/RPL5/RPL6/RPL14/RPS20/RPL21/RPL17,278
MARKEY_RB1_ACUTE_LOF_UP,MARKEY_RB1_ACUTE_LOF_UP,42,-0.233561143,-1.929401799,0.005181347,0.027590392,0.01647496,441,"tags=62%, list=34%, signal=42%",CCNF/KIF20A/FUBP1/CDK2/TFDP1/SASS6/TRIM37/H2AX/HNRNPC/TYMS/H2AZ1/CCNB1/CKS1B/TIPIN/MCM4/KIF4A/TARDBP/RAD21/AURKA/HSPD1/CENPK/MAD2L1/LSM3/BANF1/KIF23,279
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,41,-0.795696507,-6.552325342,0.005181347,0.027590392,0.01647496,252,"tags=98%, list=19%, signal=81%",RPL26L1/RPL22/EEF1G/RPLP1/EEF1B2/RPL10/RPL30/RPS17/RPL7/RPS5/RPS7/RPL37/RPS28/RPL35/RPS27A/RPL36A/RPL24/RPL37A/RPS14/RPL7A/RPL13A/RPL36/RPS24/RPL5/FAU/RPL6/RPS3/RPL14/RPS16/RPS23/RPL26/RPL23/RPL8/RPL32/RPS20/RPS19/RPS3A/RPL21/RPL17,280
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,33,-0.427883388,-3.055705343,0.005181347,0.027590392,0.01647496,467,"tags=82%, list=36%, signal=54%",YWHAE/RAD9A/CDK2/BRIP1/H2AX/H2BC21/CCNB1/SEM1/DBF4/RMI1/H2BC13/H2BC15/H2BC9/UBE2N/RAD17/H2BC11/PSMC2/H2BC6/MCM4/PKMYT1/H2BC4/PSMA4/RPS27A/RPA3/PSMA6/PSMB3,281
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,43,-0.332028809,-2.803665687,0.005181347,0.027590392,0.01647496,691,"tags=88%, list=53%, signal=43%",STAG1/KIF2C/ZWINT/CDC26/TUBB3/STAG2/CENPP/KNTC1/UBE2S/UBE2C/TUBA1C/TUBB4B/CENPI/CENPO/CENPC/SEM1/DYNLL1/CENPE/AHCTF1/ANAPC1/PSMC2/SGO1/ANAPC2/KNL1/RAD21/MIS12/CDCA8/CENPK/MAD2L1/ESPL1/PSMA4/RPS27A/AURKB/DYNC1I2/PSMA6/CDC27/PSMB3,282
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP,SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP,33,-0.264896334,-1.891742389,0.005181347,0.027590392,0.01647496,461,"tags=67%, list=36%, signal=44%",ESCO2/CCNF/TFRC/NFYB/NDC1/G3BP1/BRIP1/TYMS/CEP55/DBF4/CENPE/KNL1/MCM4/HAUS6/DUT/FANCI/SRSF10/CENPK/MAD2L1/KIF23/SRSF3,283
TIEN_INTESTINE_PROBIOTICS_24HR_DN,TIEN_INTESTINE_PROBIOTICS_24HR_DN,42,-0.269355024,-2.225087874,0.005181347,0.027590392,0.01647496,246,"tags=55%, list=19%, signal=46%",HYOU1/EEF1G/EIF5A/PABPC1/RACK1/WARS1/RPL10/GARS1/THOC2/AARS1/RPS7/SARS1/RPL37A/RPS14/RPL13A/RPS24/RPL5/RPS3/RPS23/RPL23/RPS19/RPS3A,284
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,35,-0.778745776,-5.872632531,0.005235602,0.027590392,0.01647496,209,"tags=94%, list=16%, signal=81%",EEF1G/EIF3F/RACK1/EEF1B2/RPL10/RPL30/RPS17/RPL7/RPS5/QARS1/RPS7/RPS27A/RPL36A/RPL24/RPS14/RPL7A/RPL13A/RPS24/RPL5/FAU/RPL6/RPS3/RPL14/RPS16/RPS23/RPL26/RPL23/RPL8/RPL32/RPS19/RPS3A/RPL21,285
KEGG_SPLICEOSOME,KEGG_SPLICEOSOME,37,-0.508590719,-3.87874697,0.005235602,0.027590392,0.01647496,329,"tags=81%, list=25%, signal=62%",LSM6/HNRNPA1L2/DDX42/PPIL1/HNRNPA1/THOC3/TRA2B/DHX16/DDX5/SRSF10/THOC2/LSM8/RBM22/PCBP1/LSM7/LSM3/SF3A3/SF3B5/SF3B4/SRSF3/PUF60/SNRPG/SNU13/SNRPA1/SF3B6/LSM2/PHF5A/PRPF38A/SNRPD1,286
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,37,-0.817292716,-6.233050522,0.005235602,0.027590392,0.01647496,124,"tags=92%, list=10%, signal=86%",RPL30/RPS17/RPL7/RPS5/RPS7/RPL37/RPS28/RPL35/RPS27A/RPL36A/RPL24/RPL37A/RPS14/RPL7A/RPL13A/RPL36/RPS24/RPL5/FAU/RPL6/RPS3/RPL14/RPS16/RPS23/RPL26/RPL23/RPL8/RPL32/RPS20/RPS19/RPS3A/RPL21/RPL17,287
