"","genes","diff_","t_","p_"
"183","CAMLG",0.0323235049999999,-0.458454126737988,0.722692346781514
"184","CAND1",0.00538432999999994,-0.131759276209194,0.910154917421669
"185","CAP1",0.0523596450000001,-1.57243464387121,0.31346962161413
"186","CAPRIN1",0.07278288,-1.96340740031317,0.281590426633992
"187","CAPZB",0.0424007150000001,-1.54991586989495,0.318781640405098
"188","CARM1",0.0255990199999999,-0.70254418181288,0.586492106867814
"189","CARS1",0.10703311,-5.78080673851913,0.0305268384491318
"190","CARS2",0.09617758,-0.893134362983373,0.466292203098071
"191","CASC3",0.227643665,-1.7485779680536,0.316277102409031
"192","CBFB",0.03653245,-0.575291845335484,0.641438664236538
"193","CBLL1",-0.011648735,0.737754159450848,0.540017554969868
"194","CCAR1",0.08996799,-2.29378178998622,0.249954126155311
"195","CCDC115",0.091510995,-5.38158259046957,0.036355880572069
"196","CCDC22",0.111924915,-4.0413118765266,0.0577854716912137
"197","CCDC51",0.0604013450000001,-1.14197373929881,0.37188500895942
"198","CCDC6",0.0429626949999999,-2.42823632971197,0.214898952442327
"199","CCL4",-0.0621648499999999,0.189353681354914,0.88068531602741
"200","CCNA2",0.013645985,-0.386546096521808,0.741937050683928
"201","CCNB1",0.10462064,-1.72902697537095,0.239273899844743
"202","CCNC",0.092221225,-3.74383666349785,0.0773868435931296
"203","CCND1",0.05545153,-1.32110921923281,0.403697805606264
"204","CCND2",0.105306125,-3.02855397461507,0.176327628571954
"205","CCND3",0.02225865,-0.773771095415632,0.542899008480899
"206","CCNE1",0.077355445,-2.09660098967408,0.270455611272593
"207","CCNF",0.0794344850000001,-1.2392459041058,0.352422862182276
"208","CCNH",-0.00665797499999998,0.881077753650508,0.517522531789657
"209","CCNK",-0.0319750299999999,1.15336565985351,0.368460987265282
"210","CCNL1",-0.00785229999999992,0.132527770341418,0.916108936972722
"211","CCT2",0.0692112149999999,-1.11156616364974,0.457158947447961
"212","CCT3",0.037256835,-0.952489226783071,0.47794574603595
"213","CCT4",0.060498375,-1.20593171692188,0.440455478202226
"214","CCT5",0.085228105,-1.51530929478978,0.371260118569541
"215","CCT6A",-0.0538968999999999,1.12456583405617,0.455954936410696
"216","CCT7",-0.031860725,1.06251645259309,0.39958378285175
"217","CCT8",-0.00566482999999995,1.51931723918252,0.311329294085394
"218","CD2BP2",0.19810668,-2.23150589770364,0.268043462739674
"219","CDAN1",0.08497306,-0.930908155896519,0.496407112678304
"220","CDC123",0.000275309999999973,-0.00319108092074237,0.997851580621202
"221","CDC16",-0.024774775,0.646745048576571,0.633812871401928
"222","CDC20",-0.0148051550000001,0.391777712704468,0.762185113600029
"223","CDC23",0.03287552,-0.591449052966278,0.622390658306561
"224","CDC25B",0.101080435,-4.09628540259863,0.059871166826095
"225","CDC26",0.0979564499999999,-2.76535233393633,0.211174760851447
"226","CDC27",-0.00662269999999998,0.112030297969973,0.928314129439308
"227","CDC37",0.0579061550000001,-2.51069939682837,0.133616976815471
"228","CDC40",0.1025796,-1.70124887239742,0.315646840537631
"229","CDC42",-0.0246110050000001,1.01862965075028,0.487973385105028
"230","CDC45",-0.016578735,0.23574881967938,0.837146845304092
"231","CDC5L",0.0152439,-0.536290272455514,0.686379138086468
"232","CDC6",0.0590511999999999,-1.5905263737699,0.256021104964181
"233","CDC7",0.02428262,-0.729753263081617,0.581202047872801
"234","CDC73",-0.0169266299999999,2.3822517092386,0.158715586088264
"235","CDCA3",0.094776695,-1.71113346699639,0.307913242141336
"236","CDCA5",0.0379456,-0.797955508071146,0.518040367885374
"237","CDCA8",-0.01670083,0.244092423778523,0.84491749536992
"238","CDH1",0.041124615,-6.89365607073892,0.0367400216849882
"239","CDH2",0.0560544650000001,-2.01988451819492,0.251856260600819
"240","CDIN1",0.110314745,-5.3829637029158,0.0332337454647825
"241","CDIPT",0.04319337,-3.51434064014165,0.161201648846916
"242","CDK1",-0.060951685,1.07845703554668,0.433223110442507
"243","CDK12",-0.01750025,0.79179685719014,0.568690481123584
"244","CDK13",0.0468523,-1.21139311966666,0.435139982887957
"245","CDK2",0.0470936150000001,-1.0587239770147,0.452183953531951
"246","CDK4",-0.010126965,1.63583526668996,0.296851318170616
"247","CDK6",0.03733762,-4.36647816331362,0.120163665585547
"248","CDK7",0.014988825,-0.855342294619434,0.504590119878695
"249","CDK8",0.06942255,-2.78911730201524,0.162530230389922
"250","CDK9",0.043726725,-1.20691436445879,0.403592381288397
